employee_id,employee_name,emp_contact_number,emp_role,avg_rating,created_at
82,Arie MacCrossan,(602) 947-1690,Pastry Chef,2,2024-01-29 20:28:48
83,Orsa Iggalden,(928) 742-2210,Bartender,4,2024-01-29 20:36:55
84,Heloise Aldis,(480) 427-1721,Delivery,1,2024-01-29 20:45:18
85,Sigmund Stennes,(480) 234-4587,Sommelier,3,2024-01-29 20:52:00
86,Phillipp Shaxby,(480) 457-8807,Pastry Chef,1,2024-01-29 20:57:37
87,Aindrea Winfindale,(602) 425-5473,Manager,4,2024-01-29 21:06:37
88,Mirella Carpenter,(520) 710-7048,Cashier,1,2024-01-29 21:12:57
89,Kellina Barbara,(520) 612-8413,Reception,3,2024-01-29 21:22:18
90,Hertha Merredy,(520) 774-8348,Cleaner,1,2024-01-29 21:30:03
91,Johannes Swansborough,(520) 153-4547,Chef,3,2024-01-29 21:36:25
92,Kiley Heasman,(520) 286-3087,Host,4,2024-01-29 21:40:19
93,Blair Bunford,(520) 228-6834,Pastry Chef,4,2024-01-29 21:44:34
94,Hallsy Enderby,(520) 808-8219,Chef,1,2024-01-29 21:48:03
95,Floris Peskett,(520) 518-6742,Host,3,2024-01-29 21:54:20
96,Maurine Pancost,(520) 150-1839,Waiter,2,2024-01-29 21:58:26
97,Rayna Tarn,(520) 327-0376,Manager,2,2024-01-29 22:05:35
98,Linell Carlino,(626) 766-5106,Bartender,4,2024-01-29 22:10:35
99,Robbie Isack,(562) 011-1939,Dishwasher,2,2024-01-29 22:18:35
100,Zak Hilary,(714) 786-0102,Host,1,2024-01-29 22:28:16
